Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
147A|BEC0AA0|147A|4500061523|00611||D3227603|SL82|1.000|ST||26/07/2023|0030268172|01680|10|YTPL
147A|BEC0AA0|147A|4500061523|00691||D3737801|SL82|1.000|ST||26/07/2023|0030268172|01690|10|YTPL
147A|BEC0AA0|147A|4500061523|00701||D3736901|SL82|1.000|ST||26/07/2023|0030268172|01700|10|YTPL
147A|BEC0AA0|147A|4500061523|00711||D3736801|SL82|1.000|ST||26/07/2023|0030268172|01710|10|YTPL
147A|BEC0AA0|147A|4500061523|00721||D3736401|SL82|1.000|ST||26/07/2023|0030268172|01720|10|YTPL
147A|BEC0AA0|147A|4500061523|00731||D3734901|SL82|1.000|ST||26/07/2023|0030268172|01730|10|YTPL
147A|BEC0AA0|147A|4500061523|00751||D3592301|SL82|1.000|ST||26/07/2023|0030268172|01740|10|YTPL
147A|BEC0AA0|147A|4500061523|00761||D3591501|SL82|1.000|ST||26/07/2023|0030268172|01750|10|YTPL
147A|BEC0AA0|147A|4500061523|00771||D3591600|SL82|1.000|ST||26/07/2023|0030268172|01760|10|YTPL
147A|BEC0AA0|147A|4500061523|00781||D3592000|SL82|1.000|ST||26/07/2023|0030268172|01770|10|YTPL
147A|BEC0AA0|147A|4500061523|00791||D3591201|SL82|1.000|ST||26/07/2023|0030268172|01780|10|YTPL
147A|BEC0AA0|147A|4500061523|00811||D3592101|SL82|1.000|ST||26/07/2023|0030268172|01790|10|YTPL
147A|BEC0AA0|147A|4500061523|00821||D3591300|SL82|1.000|ST||26/07/2023|0030268172|01800|10|YTPL
147A|BEC0AA0|147A|4500061523|00831||D3591400|SL82|1.000|ST||26/07/2023|0030268172|01810|10|YTPL
147A|BEC0AA0|147A|4500061523|00841||D3591901|SL82|1.000|ST||26/07/2023|0030268172|01820|10|YTPL
147A|BEC0AA0|147A|4500061523|00851||D3592200|SL82|1.000|ST||26/07/2023|0030268172|01830|10|YTPL
147A|BEC0AA0|147A|4500061523|00991||D3562002|SL82|1.000|ST||26/07/2023|0030268172|01840|10|YTPL
147A|BEC0AA0|147A|4500061523|01011||D3503402|SL82|1.000|ST||26/07/2023|0030268172|01850|10|YTPL
147A|BEC0AA0|147A|4500061523|01021||D3544602|SL82|1.000|ST||26/07/2023|0030268172|01860|10|YTPL
147A|BEC0AA0|147A|4500061523|01051||D3691800|SL82|1.000|ST||26/07/2023|0030268172|01870|10|YTPL
147A|BEC0AA0|147A|4500061523|01061||D3690801|SL82|1.000|ST||26/07/2023|0030268172|01880|10|YTPL
147A|BEC0AA0|147A|4500061523|01071||D3692001|SL82|1.000|ST||26/07/2023|0030268172|01890|10|YTPL
147A|BEC0AA0|147A|4500061523|01081||D3691501|SL82|1.000|ST||26/07/2023|0030268172|01900|10|YTPL
147A|BEC0AA0|147A|4500061523|01091||D3691001|SL82|1.000|ST||26/07/2023|0030268172|01910|10|YTPL
147A|BEC0AA0|147A|4500061523|01101||D3691400|SL82|1.000|ST||26/07/2023|0030268172|01920|10|YTPL
147A|BEC0AA0|147A|4500061523|01111||D3690501|SL82|1.000|ST||26/07/2023|0030268172|01930|10|YTPL
147A|BEC0AA0|147A|4500061523|01121||D3690101|SL82|1.000|ST||26/07/2023|0030268172|01940|10|YTPL
147A|BEC0AA0|147A|4500061523|01131||D3691701|SL82|1.000|ST||26/07/2023|0030268172|01950|10|YTPL
